구분연월,행태별(개별여행),행태별(부분패키지),행태별(패키지),목적별(레저스포츠),목적별(회의및업무),목적별(휴양및관람),목적별(친지방문),목적별(교육여행),목적별(기타방문),관련부서,데이터기준일자
2024-01,832734,91357,29456,127004,25236,684381,113602,0,3324,제주특별자치도 관광정책과,3/19/2025
2024-02,873257,23764,6835,83917,33239,699416,84186,0,3098,제주특별자치도 관광정책과,3/19/2025
2024-03,873467,32085,25428,130581,32739,687150,61331,16043,3136,제주특별자치도 관광정책과,3/19/2025
2024-04,951935,44981,60164,135105,57637,751408,69653,39857,3420,제주특별자치도 관광정책과,3/19/2025
2024-05,952429,39397,88799,163185,51524,729269,65257,68010,3380,제주특별자치도 관광정책과,3/19/2025
2024-06,946658,24149,32950,91211,49547,784811,52368,20523,5297,제주특별자치도 관광정책과,3/19/2025
2024-07,941490,45678,38384,114902,54202,781877,68041,2483,4047,제주특별자치도 관광정책과,3/19/2025
2024-08,1013067,24361,50545,75281,52963,861834,90046,4338,3511,제주특별자치도 관광정책과,3/19/2025
2024-09,904365,7707,45175,109646,42466,657618,107904,38224,1389,제주특별자치도 관광정책과,3/19/2025
2024-10,885868,42606,104596,113542,40700,748073,54215,73243,3297,제주특별자치도 관광정책과,3/19/2025
2024-11,863817,22339,42429,87991,50120,731064,37352,20088,1970,제주특별자치도 관광정책과,3/19/2025
2024-12,851459,26975,20948,89310,29168,750824,23225,772,6083,제주특별자치도 관광정책과,3/19/2025
